# FASTFOODS inside My Map circle (area1–area5)
# total=264
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
SNS Delight Foods - Home made Snacks & Desserts	area1	beside Hanuman Temple, Plot no. 50, Kapila Nagar, Hydershakote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJcV8T4-GXyzsRqydaWPufICo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SNS%20Delight%20Foods%20-%20Home%20made%20Snacks%20%26%20Desserts	https://www.swiggy.com/search?query=SNS%20Delight%20Foods%20-%20Home%20made%20Snacks%20%26%20Desserts	5	5
SRI DURGA FAST FOOD CENTER	area1	India	https://www.google.com/maps/place/?q=place_id:ChIJr5lNLH2WyzsR5L9wAPP2rmA	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SRI%20DURGA%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=SRI%20DURGA%20FAST%20FOOD%20CENTER		
SS Crispy Chicken	area1	Vishal Mega Mart, Near, Kalimandir Main Road, Westend Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJySbDjAiXyzsRGMegIBQUea4	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=SS%20Crispy%20Chicken	https://www.swiggy.com/search?query=SS%20Crispy%20Chicken	4.9	51
Starbucks - Sai Baba Nagar	area1	Shop No 9, Ground Floor, Vantage Line, Bandlaguda Jagir Road, Sai Baba Nagar, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJt-jaOgCVyzsRzeHRzxOEJYk	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Starbucks%20-%20Sai%20Baba%20Nagar	https://www.swiggy.com/search?query=Starbucks%20-%20Sai%20Baba%20Nagar	4.8	416
The Red Tomato	area1	Unnamed Road, Peeramcheru	https://www.google.com/maps/place/?q=place_id:ChIJ0fGoCFiVyzsRF5QUbogPY1o	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=The%20Red%20Tomato	https://www.swiggy.com/search?query=The%20Red%20Tomato	4.8	25
Vistazo Frozen Foods	area1	Bairagiguda	https://www.google.com/maps/place/?q=place_id:ChIJAQAAENKVyzsRoyLZL2KCE-E	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Vistazo%20Frozen%20Foods	https://www.swiggy.com/search?query=Vistazo%20Frozen%20Foods		
Wingstop	area1	Suncity Road, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJZyF8KQCXyzsRaIfpGcj9sOo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Wingstop	https://www.swiggy.com/search?query=Wingstop	2	1
5 Star Fast Food	area2	1-1-128/6/1, Bansilal Nagar, Budwel	https://www.google.com/maps/place/?q=place_id:ChIJ3Y4I1yGXyzsRYPTUZfqcPxY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=5%20Star%20Fast%20Food	https://www.swiggy.com/search?query=5%20Star%20Fast%20Food		
AA SPICY Chinese fast food	area2	89QQ+94P, Saibaba Nagar, Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJO_GmBgCXyzsRT3ewVjVQUf8	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AA%20SPICY%20Chinese%20fast%20food	https://www.swiggy.com/search?query=AA%20SPICY%20Chinese%20fast%20food	5	3
AJ FAST FOOD CENTER	area2	India	https://www.google.com/maps/place/?q=place_id:ChIJMSHb7SGWyzsRy4x87at0Sb0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=AJ%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=AJ%20FAST%20FOOD%20CENTER		
Burger trails	area2	Pillar No. 194, HER Apartment, Rajendra Nagar Road, Ashok Vihar Colony, Upperpally	https://www.google.com/maps/place/?q=place_id:ChIJEXXqxmCXyzsRNrTZeX_LQFE	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Burger%20trails	https://www.swiggy.com/search?query=Burger%20trails	4.5	67
CRISPY HUB	area2	P&T Colony, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJPf7r_5OZyzsRyNgZGWgCagc	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=CRISPY%20HUB	https://www.swiggy.com/search?query=CRISPY%20HUB	4.2	266
DARBAR STREET FAST FOOD CENTER	area2	Kalika nagar, beside Sneha chicken Center, Hanuman Temple Road, Kalimandir, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJM_crrCaVyzsRLq4FCsUh-kQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=DARBAR%20STREET%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=DARBAR%20STREET%20FAST%20FOOD%20CENTER	5	1
Delight Fast Food	area2	Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJ-RZfKP6XyzsRSPXnhtlTGC0	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Delight%20Fast%20Food	https://www.swiggy.com/search?query=Delight%20Fast%20Food	5	1
Durga Bhavani Chinese Fast Food	area2	993Q+QH9, Kismatpur Road, Abhyudaya Nagar, Prashant Nagar Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ-7kEkXSWyzsRRPoiaai9mEM	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Durga%20Bhavani%20Chinese%20Fast%20Food	https://www.swiggy.com/search?query=Durga%20Bhavani%20Chinese%20Fast%20Food		
Farhat Shawarma & Snaks	area2	Dairy Farm pillar No 217, Rajendra Nagar Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJPYT6ZeqXyzsRepDSKU-LanQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Farhat%20Shawarma%20%26%20Snaks	https://www.swiggy.com/search?query=Farhat%20Shawarma%20%26%20Snaks	5	1
Food Court fast food	area2	89PR+Q9Q, Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJn8G2_22XyzsRUugiBgWHnLw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Food%20Court%20fast%20food	https://www.swiggy.com/search?query=Food%20Court%20fast%20food	3.8	8
GA Food court	area2	996X+JM2, Suncity Road, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJy3l7egCXyzsRe7ZRjrCrQxk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=GA%20Food%20court	https://www.swiggy.com/search?query=GA%20Food%20court		
Girl's kitchen Momos	area2	below kalyani roof top dhaba, Kismatpur Road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJUeeNax2XyzsRM-9MjZ1SW5s	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Girl%27s%20kitchen%20Momos	https://www.swiggy.com/search?query=Girl%27s%20kitchen%20Momos	4.8	670
Jai Kalimatha Fast Food Center	area2	Kalimatha Temple, opposite Kalimandir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJhaWrjN2VyzsRwvH6g1hZTeU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Jai%20Kalimatha%20Fast%20Food%20Center	https://www.swiggy.com/search?query=Jai%20Kalimatha%20Fast%20Food%20Center	5	1
JAI KALIMATHA FAST FOOD CENTER	area2	Kalimandir Temple, Nehru Outer Ring Road, Abhudaya	https://www.google.com/maps/place/?q=place_id:ChIJzS3VJ8WVyzsRRDa_DX6oNAw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=JAI%20KALIMATHA%20FAST%20FOOD%20CENTER	https://www.swiggy.com/search?query=JAI%20KALIMATHA%20FAST%20FOOD%20CENTER	4.3	4
M S K PIZZA SHOP	area2	89VR+WR4, Velly View Enclave, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJwVCLfACXyzsRiInbgkWLPhE	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=M%20S%20K%20PIZZA%20SHOP	https://www.swiggy.com/search?query=M%20S%20K%20PIZZA%20SHOP		
M.M.Bro's Spicy Fast Food	area2	89MR+XH7, Bandlaguda Road, Abhyudaya Nagar, Bharath Nagar Colony, Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJUTU7iwOWyzsR7APZkyEedYU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=M.M.Bro%27s%20Spicy%20Fast%20Food	https://www.swiggy.com/search?query=M.M.Bro%27s%20Spicy%20Fast%20Food	5	1
Momo feast Bandlaguda	area2	beside sri rama jewellers, Sri Venkateshwara Colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJxVOeAyOXyzsRDLYtzgQjzIQ	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Momo%20feast%20Bandlaguda	https://www.swiggy.com/search?query=Momo%20feast%20Bandlaguda	4.8	14
Momos 24/7& craving 24/7	area2	Plot 36-b Parmashiree States suncity Bandlaguda jagir mapel town road Mapel town road, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJyzIcI5mXyzsR9N0SGkajdAs	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Momos%2024/7%26%20craving%2024/7	https://www.swiggy.com/search?query=Momos%2024/7%26%20craving%2024/7	3.6	17
Moms Nutri Bites	area2	near sbi bank, opp krishna veni talent shool,Dwaraka nagar, Gram Panchayat Road, Kalimandir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJoVpFpJOVyzsR-bpTzd7f8cw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Moms%20Nutri%20Bites	https://www.swiggy.com/search?query=Moms%20Nutri%20Bites	5	3
New Kings Fast Food	area2	Main, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJJxLax1yXyzsRsORsmDjrkx8	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=New%20Kings%20Fast%20Food	https://www.swiggy.com/search?query=New%20Kings%20Fast%20Food	5	17
OK CHINESE FAST FOOD	area2	India	https://www.google.com/maps/place/?q=place_id:ChIJ-2JsguCVyzsRyzBP2WV7G4g	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=OK%20CHINESE%20FAST%20FOOD	https://www.swiggy.com/search?query=OK%20CHINESE%20FAST%20FOOD		
Oven Story	area2	Ground & First Floor 3-21 Nos.15/1 And Nos 15, 2, Suncity Road, Hyder Shah Kote, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJcyBMqXiXyzsRtGI1n0DuBS0	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Oven%20Story	https://www.swiggy.com/search?query=Oven%20Story	2.2	49
Relish fast food corner	area2	Gandipet Mandal, 178, Elevated Ground Floor, 4-1, Dwaraka Nagar Colony, Sai Baba Nagar, Kalimandir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJVWrdcQCVyzsRxN-n4usi978	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Relish%20fast%20food%20corner	https://www.swiggy.com/search?query=Relish%20fast%20food%20corner		
SREE SAMYUKTHA FAST FOOD CENTRE	area2	India	https://www.google.com/maps/place/?q=place_id:ChIJU847It6VyzsRo3MxPBF8RrI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=SREE%20SAMYUKTHA%20FAST%20FOOD%20CENTRE	https://www.swiggy.com/search?query=SREE%20SAMYUKTHA%20FAST%20FOOD%20CENTRE	5	1
Sri kali mata	area2	993J+RC6, Sai Baba Nagar, Kalimandir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJr_gccgCVyzsRZ0kbumHVcBY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Sri%20kali%20mata	https://www.swiggy.com/search?query=Sri%20kali%20mata	5	1
THE EXOTIC BURGER	area2	beside Pavani Harmony Villas, Plot no.5, Velly View Enclave, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ6dzIDnOXyzsRskErhwzfXZ4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=THE%20EXOTIC%20BURGER	https://www.swiggy.com/search?query=THE%20EXOTIC%20BURGER	4.8	16
The Exotic Shawarma	area2	sai ram nagar colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJtzLE4ASXyzsRIp2IV2e-K4Y	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=The%20Exotic%20Shawarma	https://www.swiggy.com/search?query=The%20Exotic%20Shawarma	4.8	1428
The Street Kart - Shawarma Joint	area2	992Q+WQ5, Abhyudaya Nagar, Prashant Nagar Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJ7xofWwCXyzsRkECwRvZpMl4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=The%20Street%20Kart%20-%20Shawarma%20Joint	https://www.swiggy.com/search?query=The%20Street%20Kart%20-%20Shawarma%20Joint		
Veerabhadra Samosa junction	area2	992H+CM4, Mallikarjuna Colony Main Road, Adarsh Nagar Colony, Kalimandir, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJswIwl5eVyzsRNCz0FRGKy3c	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Veerabhadra%20Samosa%20junction	https://www.swiggy.com/search?query=Veerabhadra%20Samosa%20junction	5	2
ViHAA Chinese Fastfood And Momo	area2	1, Kismatpur Road, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJb-RNp3mXyzsRJwkg-ze3GEI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=ViHAA%20Chinese%20Fastfood%20And%20Momo	https://www.swiggy.com/search?query=ViHAA%20Chinese%20Fastfood%20And%20Momo	5	1
Wrap paradise	area2	suncity, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJr_LT9KaXyzsR79elhLlZP1Q	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Wrap%20paradise	https://www.swiggy.com/search?query=Wrap%20paradise	4.4	7
A.R Fast Food & Shawarma	area3	Shop No 07, near Zeeshan Hotel, MD Lines, Toli Chowki, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJS_Oz8PWXyzsR0pk_PpgIdLg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=A.R%20Fast%20Food%20%26%20Shawarma	https://www.swiggy.com/search?query=A.R%20Fast%20Food%20%26%20Shawarma	4	2
A.S chatori mehfil and Fast Food	area3	4-13/27, 9, Salarjung Colony, Toli Chowki, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJsc1KwD-XyzsRzjSNnIt84X4	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=A.S%20chatori%20mehfil%20and%20Fast%20Food	https://www.swiggy.com/search?query=A.S%20chatori%20mehfil%20and%20Fast%20Food	5	1
Akbar Darbar Chinese Fast Food	area3	9CH5+FQM, Saleh Nagar Main Road, Saleh Nagar, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJdesFDPWWyzsRZK1BJkjdpUI	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Akbar%20Darbar%20Chinese%20Fast%20Food	https://www.swiggy.com/search?query=Akbar%20Darbar%20Chinese%20Fast%20Food		
