# BAKERIES inside My Map circle (area1–area5)
# total=516
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
GOLDEN BAKERY	area1	Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJWagJgLmXyzsRjq0QcVvmA6Q	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=GOLDEN%20BAKERY	https://www.swiggy.com/search?query=GOLDEN%20BAKERY		
Home new	area1	999H+6JC, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ37NYQgCVyzsRnAOO9Giz0kg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Home%20new	https://www.swiggy.com/search?query=Home%20new		
Hot chips	area1	999V+CXC, Kapila Nagar Colony, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJJ31RIQCXyzsR-xUkN8x6sRU	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Hot%20chips	https://www.swiggy.com/search?query=Hot%20chips	5	1
Jwala swagruha foods kitchen	area1	Plot no 32 Kapilnagar, Bhagya Nagar Colony, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJl6jjjbqXyzsRtCrJpz3b1Og	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Jwala%20swagruha%20foods%20kitchen	https://www.swiggy.com/search?query=Jwala%20swagruha%20foods%20kitchen		
mehtab	area1	Villa-84, EMPIRE INSIGNIA, 84, Indra Reddy Nagar, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ8xC3VwCVyzsRXVARGolKjWk	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=mehtab	https://www.swiggy.com/search?query=mehtab		
Mysore bakery	area1	100, Himgiry Nagar Colony Road, Himagiri Nagar, Shanthinagar Colony, Hydershakote	https://www.google.com/maps/place/?q=place_id:ChIJi-TKzWiXyzsRAbEmDvnqXLI	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Mysore%20bakery	https://www.swiggy.com/search?query=Mysore%20bakery	3.8	113
Nandini Bangalore Bakery	area1	Plot no 3, Himgiry Nagar Colony Road, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJcRCz3qyXyzsREhIGHPVgd6I	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Nandini%20Bangalore%20Bakery	https://www.swiggy.com/search?query=Nandini%20Bangalore%20Bakery	4.2	490
Nandini Bangalore Bakery	area1	near KENDRIYA VIHAR PHASE 3, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ2Z34ws2XyzsRDpi7-HudD-M	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Nandini%20Bangalore%20Bakery	https://www.swiggy.com/search?query=Nandini%20Bangalore%20Bakery	4.7	17
New Golden Bakery	area1	996G+4V7, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJycUMfQCVyzsReYqkEYM9T4s	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=New%20Golden%20Bakery	https://www.swiggy.com/search?query=New%20Golden%20Bakery	5	2
Nikita's Bakehouse Healthy Cookies	area1	Gurukrupa Nivas, Sri chaitanya international school Backside of Srinidhi International School, Shanti Nagar Road, Hydershakote, suncity	https://www.google.com/maps/place/?q=place_id:ChIJl_HS-WCXyzsRYSM-JUH6Eqg	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Nikita%27s%20Bakehouse%20Healthy%20Cookies	https://www.swiggy.com/search?query=Nikita%27s%20Bakehouse%20Healthy%20Cookies	5	3
