# SWEETS inside My Map circle (area1–area5)
# total=111
# columns: name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
# delivery_apps: known chains / meal_delivery / review heuristics; always verify via zomato_search & swiggy_search

name	area	address	maps_link	delivery_apps	zomato_search	swiggy_search	rating	reviews
CHILKUR BALAJI MITHAI WALA	area2	Bansilal Nagar, Budwel, Hyderabad, Telangana 500030, India	https://www.google.com/maps/place/?q=place_id:ChIJD2fExv6XyzsRrM77o7j4o6I	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=CHILKUR%20BALAJI%20MITHAI%20WALA	https://www.swiggy.com/search?query=CHILKUR%20BALAJI%20MITHAI%20WALA	4.2	189
G.M SWEET & SHAWARMA	area2	995X+6VX, Mapletown Road, Padmasri Estates, Hyder Shah Kote, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJKVU5PWyWyzsR7TfEYZkp7xY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=G.M%20SWEET%20%26%20SHAWARMA	https://www.swiggy.com/search?query=G.M%20SWEET%20%26%20SHAWARMA	5	1
Krishna Mithai Vatika	area2	2-123, Abhyudaya Nagar, Prashant Nagar Colony, Bandlaguda Jagir, Telangana 500086, India	https://www.google.com/maps/place/?q=place_id:ChIJ-RmgVciXyzsR5mpeoB8vFBI	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Krishna%20Mithai%20Vatika	https://www.swiggy.com/search?query=Krishna%20Mithai%20Vatika	3.9	723
Marhaba sweets & bakery	area2	6-2-605, NEW-6-2-605, Suncity Road, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJwyOULACXyzsRqsZS0qjVWJ4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Marhaba%20sweets%20%26%20bakery	https://www.swiggy.com/search?query=Marhaba%20sweets%20%26%20bakery	5	3
Mathura Sweets	area2	Plot No. 58, Ground Floor, Siri Malle Vihar Opposite Vaishnavi Oasis Apartment Bandlaguda Jagir, Rajendranagar, Velly View Enclave, Hyderabad, Bandlaguda Jagir, Telangana 500086, India	https://www.google.com/maps/place/?q=place_id:ChIJaTu8yVyXyzsRmSD70E-XTv8	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Mathura%20Sweets	https://www.swiggy.com/search?query=Mathura%20Sweets	4	45
New Delhi Sweet & Chat	area2	Kismatpur	https://www.google.com/maps/place/?q=place_id:ChIJPSpmLEaXyzsReFaNmFbkHcs	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=New%20Delhi%20Sweet%20%26%20Chat	https://www.swiggy.com/search?query=New%20Delhi%20Sweet%20%26%20Chat	5	2
Shalimar Sweets & Bakers	area2	8CX6+JWJ, Golden Heights Colony Road, Happy Homes Colony, Janachaitanya colony, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJzQmrCACXyzsRxQh4p76IA3s	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Shalimar%20Sweets%20%26%20Bakers	https://www.swiggy.com/search?query=Shalimar%20Sweets%20%26%20Bakers	3.2	12
Sorvet Ice cream-R R pan shop	area2	9C62+HX5, Sun City, Bandlaguda Jagir	https://www.google.com/maps/place/?q=place_id:ChIJf_0DDgCXyzsRaGFmp7mh774	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Sorvet%20Ice%20cream-R%20R%20pan%20shop	https://www.swiggy.com/search?query=Sorvet%20Ice%20cream-R%20R%20pan%20shop	4.9	9
Sweet Truth Suncity	area2	Suncity FC, Ground & first floor 3-21 Nos.15/1 and Nos 15/2 Hydershahkote Village, District, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJiZWIFrmXyzsR4FuZGcgL_3o	Likely on Zomato+Swiggy (known chain)	https://www.zomato.com/hyderabad/restaurants?q=Sweet%20Truth%20Suncity	https://www.swiggy.com/search?query=Sweet%20Truth%20Suncity	2.4	15
Yahya kitchen and ice cream parlour	area2	spl, 118, P&T Colony, Sun City, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJJ2dyKwCXyzsRpalqZRjbYxw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Yahya%20kitchen%20and%20ice%20cream%20parlour	https://www.swiggy.com/search?query=Yahya%20kitchen%20and%20ice%20cream%20parlour		
Alfa Sweets Namkin Chat Ice-Cream Milk	area3	H.no: 9-4-162#, 7 Tombs Rd, near The Hyderabad Golf Club, Banjara Darwaja, Toli Chowki, Hyderabad, Telangana 500008, India	https://www.google.com/maps/place/?q=place_id:ChIJ5RHKQZGWyzsR7pZKmqDym00	Possibly listed - verify via Zomato/Swiggy search links	https://www.zomato.com/hyderabad/restaurants?q=Alfa%20Sweets%20Namkin%20Chat%20Ice-Cream%20Milk	https://www.swiggy.com/search?query=Alfa%20Sweets%20Namkin%20Chat%20Ice-Cream%20Milk	4.3	34
Delight Ice Cream	area3	9CH7+M89, Fort Road, Kishan Guda, Langar Houz, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJP-S2cfaWyzsRFmLHDTugV3Y	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Delight%20Ice%20Cream	https://www.swiggy.com/search?query=Delight%20Ice%20Cream	4.3	11
Famous Sweets And Bakery	area3	9-11-4/B/1, Moti Darwaza, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJE60h3BCXyzsRxs46oAmBwZY	Possibly on Zomato/Swiggy (100+ Google reviews) - verify	https://www.zomato.com/hyderabad/restaurants?q=Famous%20Sweets%20And%20Bakery	https://www.swiggy.com/search?query=Famous%20Sweets%20And%20Bakery	3.9	120
Fauzan Icecream Parlor	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJ9SqOBfWWyzsRz7-8p9n0cWo	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Fauzan%20Icecream%20Parlor	https://www.swiggy.com/search?query=Fauzan%20Icecream%20Parlor	4	2
FIRDOUS SWEET & BAKERS	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJIwRC8fSWyzsRjCE2LzA1MLs	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=FIRDOUS%20SWEET%20%26%20BAKERS	https://www.swiggy.com/search?query=FIRDOUS%20SWEET%20%26%20BAKERS	5	2
Firdous Sweet And Backery	area3	Moti Darwaza, 9-11-2/1/154, Moti Darwaza Road, Sajjad Colony, Golconda Fort, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJEXXBRs2XyzsRXkp5seJlxr4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=Firdous%20Sweet%20And%20Backery	https://www.swiggy.com/search?query=Firdous%20Sweet%20And%20Backery	4.6	16
FIRDOUS SWEET HOUSE & BAKERY	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJgws1Co6WyzsRos6tL3EsHNY	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=FIRDOUS%20SWEET%20HOUSE%20%26%20BAKERY	https://www.swiggy.com/search?query=FIRDOUS%20SWEET%20HOUSE%20%26%20BAKERY	5	1
LATA SWEETS & BAKERS	area3	India	https://www.google.com/maps/place/?q=place_id:ChIJKQ8fL-KWyzsRzlW9XEaCIs4	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=LATA%20SWEETS%20%26%20BAKERS	https://www.swiggy.com/search?query=LATA%20SWEETS%20%26%20BAKERS		
MELEKA ICE CREAM PARLOR COOL DRINKS	area3	A/2, opp. Military Hospital, 9-2-506, Langar Houz, Hyderabad	https://www.google.com/maps/place/?q=place_id:ChIJ9QML-cWXyzsRu175Fz8oFcw	Unknown - verify on Zomato/Swiggy	https://www.zomato.com/hyderabad/restaurants?q=MELEKA%20ICE%20CREAM%20PARLOR%20COOL%20DRINKS	https://www.swiggy.com/search?query=MELEKA%20ICE%20CREAM%20PARLOR%20COOL%20DRINKS	5	2
